主机ID,主机名,状态,IP地址,宿主机IP,可用区,上联网络设备,操作系统名称,CPU,内存(MB),系统盘（类型#大小GB）,数据盘（类型#大小GB）,创建时间,
4116f653-64da-41b6-8a3f-3190a633418a,waf-engine-normalliu,运行中,10.15.42.134,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),8,12288,standard#48,standard#20,2020-10-19 10:44:49,
6f446ebc-9f7a-475a-98a5-b81163226f49,WAF-MongoDB-3,运行中,10.15.42.133,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-15 10:10:58,
6a687fd4-ec7b-432f-b9fa-9c01331b17aa,WAF-MongoDB-2,运行中,10.15.42.132,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-15 10:08:39,
8353e112-4035-4e94-99c8-8f4af9a1d2e7,WAF-MongoDB-1,运行中,10.15.42.131,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-15 10:04:38,
7034e769-efd2-4d92-848e-3e3c356aab26,WAF-kafka-3,运行中,10.15.42.128,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-14 20:02:48,
e10df0a6-c223-4f7a-86da-1b80617c07b6,WAF-kafka-2,运行中,10.15.42.129,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-14 20:02:48,
fc2dcc73-e167-413b-a2ce-abd738e97100,WAF-kafka-1,运行中,10.15.42.130,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-14 20:02:48,
596365a5-2cfe-49f1-ba0b-9e25976f6d51,WAF-engine-2,运行中,10.15.42.119,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-14 16:45:08,
c844d6e8-f8d8-409f-969d-9d2364414396,WAF-engine-1,运行中,10.15.42.120,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#50,2020-10-14 16:43:06,
1ad5ff09-f008-4f42-aac4-a47b843d997b,poc_tce_mongodb_arbitor1,运行中,10.15.42.116,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#100,2020-09-07 20:37:25,
23eb21b3-2551-49bc-a64f-a1fa62023da6,poc_tce_mongodb_mongos2,运行中,10.15.42.115,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#100,2020-09-07 20:34:54,
cf8e42a5-3e60-413c-b89e-e8de1d488f19,poc_tce_mongodb_mongos1,运行中,10.15.42.113,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#100,2020-09-07 20:34:54,
53b00a94-60a3-4548-b315-81b3a7f4175e,poc_tce_mongodb_etcd_master3,运行中,10.15.42.127,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#300,2020-09-07 16:30:19,
6a994518-750f-4519-9689-1797cfefb401,poc_tce_mongodb_etcd_master2,运行中,10.15.42.126,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#300,2020-09-07 16:30:19,
e29c8ed5-066e-4f57-b556-b4743d5084c4,poc_tce_mongodb_etcd_master1,运行中,10.15.42.125,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#300,2020-09-07 16:30:19,
63a2879c-6195-486f-9c84-0a7c516d0aa1,inpected-yangmeng,运行中,10.15.42.118,10.15.0.28,shanghai-tz,TYNT180901YF;TYNT180901M2,centos7.3x86_64,4,8192,standard#48,standard#500,2020-06-10 16:05:21,
56fffabb-83d0-438d-9e1d-e70d8dc2e149,ntp2,运行中,10.15.42.117,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,CentOS 7.6 64bit,1,2048,standard#48,standard#10,2020-06-01 09:47:12,
7b231240-9a3f-4404-896a-665acb9153c9,VPC_Detect_Jump,运行中,10.15.42.106,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,centos6.5,8,16384,standard#48,standard#200,2020-05-12 18:28:31,
255ecfa5-0ec9-4040-a143-ae98d5151811,VPC_Detect_Host_2,运行中,10.15.42.105,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,centos6.5,8,16384,standard#48,standard#300,2020-05-09 15:21:40,
9669b7fc-ce3e-4ed2-be89-edfc7e1c8d65,cfs_cluster_master2,运行中,10.15.42.109,10.15.0.19,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),16,32768,standard#48,standard#500,2020-04-26 14:29:35,
106ec9f5-d802-4fde-81ab-9dfd876d5901,cfs_cluster_master1,运行中,10.15.42.108,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),16,32768,standard#48,standard#500,2020-04-26 14:27:35,
cda13778-fe8a-47f8-9f50-fcbda577dc6b,VPC_Detect_Host_1,运行中,10.15.42.103,10.15.0.19,shanghai-tz,TYNT180901YF;TYNT180901M2,centos6.5,8,16384,standard#48,standard#300,2020-04-26 10:28:36,
b221e7f1-a6a0-4441-b08d-183358c90b3c,cfs_pool_master2,运行中,10.15.42.102,10.15.0.19,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),8,16384,standard#48,standard#200,2020-04-23 14:14:51,
b38b1f02-67a3-4d2f-b80a-67d0d07d7071,cfs_pool_master1,运行中,10.15.42.101,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),8,16384,standard#48,standard#200,2020-04-23 14:12:41,
69dcb8d8-d521-4b83-a83a-e9db6e74c4c7,underlay win jump,运行中,10.15.42.114,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Xserver windows2012cndatacenterx86_64,2,4096,standard#48,standard#10,2020-04-22 15:34:07,
f6b9f8cf-744f-4bee-b1d0-88c1af16e49a,tdsql_keeper,运行中,10.15.42.111,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,centos7.4x86_64,4,8192,standard#48,standard#200,2020-03-16 16:33:28,
a18f598f-3129-4891-a4af-804c0ca0dcd1,tdsql_keeper,运行中,10.15.42.112,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,centos7.4x86_64,4,8192,standard#48,standard#200,2020-03-16 16:33:27,
f5644ac1-8263-4dca-b729-bcb014baec53,tdsql_comsumer,运行中,10.15.42.110,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,centos7.4x86_64,4,16384,standard#48,standard#400,2020-03-16 16:30:06,
e6249a64-a484-4928-b3d8-5bda3aca29c5,cmq_broker,运行中,10.15.42.107,10.15.0.19,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),8,24576,standard#48,standard#200,2020-03-11 14:29:06,
588b0991-2fd8-4edd-ba0a-17c2e8b1c3a9,cbs_zk2,运行中,10.15.42.99,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#420,2020-03-09 22:31:57,
30739f4c-6ff6-46ed-939c-374bd9c95853,cbs_zk3,运行中,10.15.42.100,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#420,2020-03-09 22:23:22,
26c021e1-95ab-4dc5-95ca-1074319fb268,cbs_zk1,运行中,10.15.42.98,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),4,8192,standard#48,standard#420,2020-03-09 22:22:10,
9e75bd77-46d4-4fd5-acf9-4fb822377068,ntp1,运行中,10.15.42.104,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),2,4096,standard#48,standard#10,2020-03-08 18:12:38,
8f9f38e9-1d10-45f4-a382-a763355b6e72,cbsmaster1,运行中,10.15.42.96,10.15.0.19,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),8,16384,standard#48,standard#200,2020-03-05 21:15:19,
a5a3a6b5-5aa4-4339-874c-21ae9c93710f,cbsmaster2,运行中,10.15.42.97,10.15.0.63,shanghai-tz,TYNT180901YF;TYNT180901M2,Tencent tlinux release 2.2 (Final),8,16384,standard#48,standard#200,2020-03-05 21:15:19,
f73389f2-5b26-4715-aecc-409e4c08c17c,cvm_metadata,运行中,10.15.42.95,10.15.0.46,shanghai-tz,TYNT180901YF;TYNT180901M2,CentOS6.3-64bit,4,8192,standard#48,standard#100,2020-03-05 15:15:23,
