svr_id,svr_asset_id,svr_sn,svr_device_name,svr_device_type_tencent,svr_device_type,svr_type,svr_current_status,svr_idc_name,svr_idc_id,svr_vm_index,svr_rack_name,svr_succeed_asset_id,svr_pos_id,svr_device_height,svr_logic_area,svr_device_descript,svr_lan_ip,svr_wan_ip,svr_wan_eip,svr_raid_type,svr_os_name,svr_agent_version,svr_producer,svr_bussiness,svr_bussiness_id,svr_first_use_time,svr_update_time,svr_insert_time,svr_kernel_version,svr_maintainer,is_double_bonding,svr_mon_proc,svr_mon_port,svr_netif_info,appid,zhiyun_ext_string1,zhiyun_ext_string2,zhiyun_ext_int1,zhiyun_ext_int2,svr_os_type,region_name,zone_name,is_user_define_model,svr_belonging_products
1,TYSV190302T6,210200A00QH193002058,御界探针,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302T6,17,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.134.133,NULL,NULL,NORAID,TencentOS Server 2.2 (TK2-0052),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,NULL,NULL,eth0  34:6b:5b:23:6d:0c|eth1 10.0.134.133 34:6b:5b:23:6d:0d|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,0
2,TYSV190302T4,210200A00QH193002056,WTS_W4_01,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302T4,12,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.128.137,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,ntpd|dcos_agent_collect|dcos_agent_report|zebra|ospfd|tgw_worker|flash_policy_ccd|flash_policy_mcd|hb,,eth0 10.0.200.137 34:6b:5b:23:6b:5c|eth1 10.0.128.137 34:6b:5b:23:6b:5d|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,3
3,TYSV190302WM,210200A00QH193002067,WTS_EIP_01,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302WM,11,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.128.139,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,ntpd|dcos_agent_collect|dcos_agent_report|zebra|ospfd|tgw_worker|flash_policy_ccd|flash_policy_mcd,NULL,eth0 10.0.200.139 34:6b:5b:23:6d:ea|eth1 10.0.128.139 34:6b:5b:23:6d:eb|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,3
4,TYSV190302F8,210200A00QH193002034,WTS-VPC母机,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-B05,TYSV190302F8,5,2,ServerFarm bonding区1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.3.157,NULL,NULL,RAID5,Tencent tlinux release 2.2 (Final3),NULL,H3C,NULL,306,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,ntpd|dcos_agent_collect|dcos_agent_report|zebra|ospfd|tgw_worker|flash_policy_ccd|flash_policy_mcd,NULL,bond0  de:69:24:87:2d:c6|bond1 10.0.3.157 70:57:bf:39:8f:f1|eth0  70:57:bf:39:8f:f1|eth1  70:57:bf:39:8f:f1|gre0  fe:ff:ff:ff:ff:ff|lo 127.0.0.1 00:00:00:00:00:00|vbr0  fe:ff:ff:ff:ff:ff,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,0
5,TYSV190302WL,210200A00QH193002066,WTS_NATGW360_01,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302WL,9,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.131.137,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final2),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,NULL,NULL,dump0  92:77:13:a9:7a:ce|eth0  34:6b:5b:23:6f:52|lo 127.0.0.1 00:00:00:00:00:00|uvmac  00:00:5e:00:01:01|vnic0 10.0.131.137 34:6b:5b:23:6f:53,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,2
6,TYSV190302F9,210200A00QH193002035,WTS-SXGW_01,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302F9,8,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.133.133,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,ntpd|dcos_agent_collect|dcos_agent_report|zebra|ospfd|sxgw_pal|vpc_agent,NULL,vnic0 10.0.133.133 70:57:bf:39:91:3b|lo 127.0.0.1 00:00:00:00:00:00|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,2
7,TYSV190302FW,210200A00QH193002041,WTS_XGW_01,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302FW,7,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.133.5,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,ntpd|dcos_agent_collect|dcos_agent_report|zebra|ospfd|xgw_pal|vpc_agent,NULL,vnic0 10.0.133.5 70:57:bf:39:91:d7|lo 127.0.0.1 00:00:00:00:00:00|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,2
8,TYSV190302FA,210200A00QH193002036,JJA-COS接入1,NULL,CG1-10G,0,2,DC-TKO,1002,0,0101-C16,TYSV190302FA,1,2,ServerFarm bonding区1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.1.0.31,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final-SecFix),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,NULL,NULL,bond1 10.1.0.31 70:57:bf:39:91:8e|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz2,0,5
9,TYSV190302RN,210200A00QH193002053,WTS-DCGW_01,NULL,CG1-10G,0,2,DC-Watson,1001,0,401-A03,TYSV190302RN,5,2,ServerFarm TGW1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.130.133,NULL,NULL,2RAID1+4RAID10,Tencent tlinux release 2.2 (Final),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,dcos_agent_collect|dcos_agent_report|vpc_monitor|zebra|ospfd|dcgw_pal|AdamPlugins|vpc_agent,NULL,vnic0 10.0.130.133 34:6b:5b:23:6e:03|lo 127.0.0.1 00:00:00:00:00:00|lo 127.0.0.1 00:00:00:00:00:00,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,2
10,TYSV190302RP,210200A00QH193002054,TCS-master,NULL,CG1-10G,0,2,DC-Watson,1001,0,0401-A04,TYSV190302RP,3,2,ServerFarm bonding区1,CG1-10G(6133*2/16G*16/480G*6/10GE*2),10.0.6.140,NULL,NULL,RAID5,Tencent tlinux release 2.4 (x86_64 Final),NULL,H3C,NULL,0,NULL,NULL,2019-04-01 13:57:28,NULL,NULL,0,NULL,NULL,bond1 10.0.6.140 34:6b:5b:23:6e:32|eth0  34:6b:5b:23:6e:32|eth1  34:6b:5b:23:6e:32|flannel.ipip 192.168.2.0 0a:00:06:8c|lo 127.0.0.1 00:00:00:00:00:00|tunl0  00:00:00:00|tunl1 127.0.1.1 0a:00:06:8c|v-h1295cc815  16:11:b2:da:5a:70|v-h48470a81e  2e:3e:58:d4:3e:2c|v-h8616f1d8d  76:aa:64:0a:b1:b0|v-h9ebc00502  a2:60:32:5c:3a:09|v-hb2234217a  46:c0:f6:91:ea:e9|v-hcce681efe  22:17:6f:1a:28:f6,0,NULL,NULL,0,0,NULL,hongkong,hkaz1,0,2
